solution,time
12.0,9.798812099994393
15.0,10.566209700002219
15.0,10.73943490000238
16.0,10.444178600002488
15.0,10.652571099999477
12.0,10.514281700001447
13.0,10.53456549999828
16.0,10.610768400001689
14.0,10.58033119999891
12.0,10.34047080000164
15.0,9.854985900004976
15.0,10.469756400001643
12.0,10.329093300002569
15.0,11.105004600001848
16.0,10.977171300000919
14.0,10.448025600002438
14.0,10.476624299997638
15.0,10.435426399999415
16.0,10.846033800000441
15.0,10.478001499999664
14.0,10.618974299999536
14.0,10.40239119999751
14.0,9.713019499999064
16.0,10.31303100000514
15.0,9.792103899999347
