qusetion_num,gene_size,num_generations,prob_mut,size_pop,solution,time
2,28,600,"(0.01,)",106,8.0,4.018105299997842
2,28,600,"(0.01,)",106,7.0,3.8844485000008717
2,28,600,"(0.01,)",106,7.0,3.8880425000024843
2,28,600,"(0.01,)",106,7.0,4.218040299994755
2,28,600,"(0.01,)",106,7.0,3.9340674999984913
2,28,600,"(0.01,)",106,7.0,3.777084700006526
2,28,600,"(0.01,)",106,7.0,4.509956099995179
2,28,600,"(0.01,)",106,7.0,4.30492139999842
2,28,600,"(0.01,)",106,7.0,3.678802700000233
2,28,600,"(0.01,)",106,7.0,3.7200192000018433
2,28,600,"(0.01,)",106,8.0,4.17786850000266
2,28,600,"(0.01,)",106,7.0,4.018380200002866
2,28,600,"(0.01,)",106,7.0,3.9593301999993855
2,28,600,"(0.01,)",106,7.0,4.003175700003339
2,28,600,"(0.01,)",106,7.0,3.9200156000006245
